Date : 2026-03-04 07:13:14
Directory : /Users/roryhill/Projects/Winnow64
Total : 1642 files,  378426 codes, 58604 comments, 69831 blanks, all 506861 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qfutureinterface_p.h                             | C++           |        130 |         28 |         27 |        185 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qfuturewatcher_p.h                               | C++           |         23 |         12 |         15 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qglobal_p.h                                      | C++           |        100 |         25 |         21 |        146 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qgregoriancalendar_p.h                           | C++           |         27 |         20 |         10 |         57 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qhijricalendar_data_p.h                          | C++           |      1,224 |         25 |         11 |      1,260 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qhijricalendar_p.h                               | C++           |         21 |         13 |         11 |         45 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qhooks_p.h                                       | C++           |         23 |         12 |         14 |         49 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qidentityproxymodel_p.h                          | C++           |         35 |         13 |         15 |         63 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qiodevice_p.h                                    | C++           |        127 |         18 |         24 |        169 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qipaddress_p.h                                   | C++           |         15 |         12 |         11 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qislamiccivilcalendar_p.h                        | C++           |         16 |         15 |          9 |         40 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qitemselectionmodel_p.h                          | C++           |         54 |         13 |         16 |         83 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qiterable_p.h                                    | C++           |         21 |         12 |         10 |         43 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qjalalicalendar_data_p.h                         | C++           |        875 |         25 |         11 |        911 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qjalalicalendar_p.h                              | C++           |         23 |         17 |         10 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qjnihelpers_p.h                                  | C++           |        115 |         12 |         28 |        155 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qjson_p.h                                        | C++           |        171 |         13 |         36 |        220 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qjsonparser_p.h                                  | C++           |         32 |         12 |         14 |         58 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qjsonwriter_p.h                                  | C++           |         16 |         12 |         10 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qjuliancalendar_p.h                              | C++           |         15 |         15 |          8 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlibrary_p.h                                     | C++           |         69 |         16 |         24 |        109 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlibraryinfo_p.h                                 | C++           |         32 |         13 |         13 |         58 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlocale_data_p.h                                 | C++           |      6,022 |         31 |         38 |      6,091 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlocale_p.h                                      | C++           |        403 |         38 |         64 |        505 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlocale_tools_p.h                                | C++           |         54 |         21 |         17 |         92 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlocaltime_p.h                                   | C++           |         18 |         19 |         10 |         47 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlockfile_p.h                                    | C++           |         55 |         16 |         13 |         84 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlocking_p.h                                     | C++           |         32 |         35 |         14 |         81 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qlogging_p.h                                     | C++           |          9 |         12 |         10 |         31 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qloggingregistry_p.h                             | C++           |        105 |         14 |         35 |        154 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmachparser_p.h                                  | C++           |         16 |         12 |         12 |         40 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmakearray_p.h                                   | C++           |        100 |         12 |         32 |        144 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmetaobject_moc_p.h                              | C++           |         17 |         13 |          7 |         37 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmetaobject_p.h                                  | C++           |        195 |         30 |         36 |        261 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmetaobjectbuilder_p.h                           | C++           |        223 |         12 |         75 |        310 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmetatype_p.h                                    | C++           |        108 |         13 |         17 |        138 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmilankoviccalendar_p.h                          | C++           |         15 |         15 |          8 |         38 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmimedatabase_p.h                                | C++           |         57 |         14 |         23 |         94 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmimeglobpattern_p.h                             | C++           |         95 |         22 |         24 |        141 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmimemagicrule_p.h                               | C++           |         57 |         13 |         23 |         93 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmimemagicrulematcher_p.h                        | C++           |         33 |         12 |         17 |         62 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmimeprovider_p.h                                | C++           |        112 |         20 |         28 |        160 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmimetype_p.h                                    | C++           |         44 |         12 |         15 |         71 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmimetypeparser_p.h                              | C++           |         60 |         12 |         26 |         98 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qmutex_p.h                                       | C++           |         69 |         23 |         17 |        109 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qnativeinterface_p.h                             | C++           |         40 |         13 |         11 |         64 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qnoncontiguousbytedevice_p.h                     | C++           |        121 |         15 |         28 |        164 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qntdll_p.h                                       | C++           |         35 |         18 |         10 |         63 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qnumeric_p.h                                     | C++           |        211 |         63 |         46 |        320 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qobject_p.h                                      | C++           |        346 |         52 |         72 |        470 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qobject_p_p.h                                    | C++           |        192 |         35 |         23 |        250 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qoffsetstringarray_p.h                           | C++           |        111 |         17 |         29 |        157 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qoperatingsystemversion_p.h                      | C++           |         13 |         12 |          9 |         34 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qoperatingsystemversion_win_p.h                  | C++           |          8 |         12 |          8 |         28 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qorderedmutexlocker_p.h                          | C++           |        116 |         26 |         32 |        174 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qparallelanimationgroup_p.h                      | C++           |         28 |         13 |         13 |         54 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qplugin_p.h                                      | C++           |         69 |         18 |         12 |         99 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qpoll_p.h                                        | C++           |         25 |         12 |         13 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qprocess_p.h                                     | C++           |        284 |         22 |         47 |        353 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qproperty_p.h                                    | C++           |        694 |         89 |        127 |        910 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qpropertyanimation_p.h                           | C++           |         35 |         15 |         13 |         63 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qrandom_p.h                                      | C++           |         28 |         13 |         12 |         53 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qreadwritelock_p.h                               | C++           |         39 |         17 |         16 |         72 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qresource_iterator_p.h                           | C++           |         20 |         12 |         11 |         43 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qresource_p.h                                    | C++           |         33 |         12 |         17 |         62 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qringbuffer_p.h                                  | C++           |        179 |         16 |         39 |        234 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qromancalendar_data_p.h                          | C++           |      2,713 |         25 |         11 |      2,749 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qromancalendar_p.h                               | C++           |         18 |         15 |          8 |         41 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsavefile_p.h                                    | C++           |         21 |         12 |         15 |         48 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsequentialanimationgroup_p.h                    | C++           |         39 |         18 |         19 |         76 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsettings_p.h                                    | C++           |        209 |         15 |         48 |        272 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsharedmemory_p.h                                | C++           |        106 |         15 |         30 |        151 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsimd_p.h                                        | C++           |        241 |        152 |         39 |        432 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsimd_x86_p.h                                    | C++           |        378 |         21 |         15 |        414 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qstdweb_p.h                                      | C++           |        115 |         16 |         30 |        161 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qstorageinfo_p.h                                 | C++           |         45 |         12 |         14 |         71 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qstringalgorithms_p.h                            | C++           |         79 |         20 |         18 |        117 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qstringconverter_p.h                             | C++           |        241 |         46 |         51 |        338 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qstringiterator_p.h                              | C++           |        174 |         15 |         46 |        235 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsystemerror_p.h                                 | C++           |         32 |         13 |         12 |         57 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsystemlibrary_p.h                               | C++           |         53 |         12 |         15 |         80 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qsystemsemaphore_p.h                             | C++           |         56 |         12 |         17 |         85 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qt_pch.h                                         | C++           |         33 |         13 |          4 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtcore-config_p.h                                | C++           |         34 |          0 |         35 |         69 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtemporaryfile_p.h                               | C++           |         83 |         14 |         28 |        125 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtextstream_p.h                                  | C++           |        120 |         23 |         28 |        171 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qthread_p.h                                      | C++           |        248 |         43 |         71 |        362 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qthreadpool_p.h                                  | C++           |        110 |         16 |         30 |        156 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtimerinfo_unix_p.h                              | C++           |         46 |         16 |         22 |         84 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtimezoneprivate_data_p.h                        | C++           |      1,162 |         62 |         21 |      1,245 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtimezoneprivate_p.h                             | C++           |        340 |         35 |        106 |        481 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtools_p.h                                       | C++           |         52 |         14 |         19 |         85 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtrace_p.h                                       | C++           |         25 |         76 |          9 |        110 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtranslator_p.h                                  | C++           |         22 |         12 |         10 |         44 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qtransposeproxymodel_p.h                         | C++           |         29 |         12 |          8 |         49 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qunicodetables_p.h                               | C++           |        152 |         15 |         34 |        201 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qunicodetools_p.h                                | C++           |         45 |         13 |         18 |         76 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qurl_p.h                                         | C++           |         16 |         15 |          9 |         40 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qvariant_p.h                                     | C++           |         20 |         13 |          8 |         41 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qvariantanimation_p.h                            | C++           |         60 |         16 |         27 |        103 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qvolatile_p.h                                    | C++           |         25 |         17 |         12 |         54 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qwaitcondition_p.h                               | C++           |         82 |         20 |         25 |        127 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qwindowspipereader_p.h                           | C++           |         66 |         13 |         19 |         98 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qwindowspipewriter_p.h                           | C++           |         54 |         13 |         17 |         84 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qwineventnotifier_p.h                            | C++           |         25 |         12 |         12 |         49 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qwinregistry_p.h                                 | C++           |         30 |         12 |         13 |         55 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qxmlstream_p.h                                   | C++           |        406 |         31 |         66 |        503 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qxmlstreamgrammar_p.h                            | C++           |         99 |         13 |         17 |        129 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qxmlstreamparser_p.h                             | C++           |        863 |         28 |        107 |        998 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private/qxmlutils_p.h                                    | C++           |         28 |         17 |         10 |         55 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/Core_fake_header.h                                                    | C++           |          0 |          1 |          1 |          2 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/q20algorithm.h                                                        | C++           |         81 |         19 |          9 |        109 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/q20functional.h                                                       | C++           |         31 |         19 |         10 |         60 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/q20iterator.h                                                         | C++           |         18 |         18 |          9 |         45 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/q23functional.h                                                       | C++           |         24 |         19 |          7 |         50 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qabstractanimation.h                                                  | C++           |        103 |          2 |         38 |        143 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qabstracteventdispatcher.h                                            | C++           |         51 |          2 |         22 |         75 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qabstractitemmodel.h                                                  | C++           |        395 |         10 |        104 |        509 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qabstractnativeeventfilter.h                                          | C++           |         17 |          2 |         10 |         29 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qabstractproxymodel.h                                                 | C++           |         66 |          2 |         21 |         89 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qalgorithms.h                                                         | C++           |        382 |         26 |         40 |        448 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qanimationgroup.h                                                     | C++           |         29 |          2 |         12 |         43 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qanystringview.h                                                      | C++           |        238 |         23 |         43 |        304 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qapplicationstatic.h                                                  | C++           |         63 |          5 |         14 |         82 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qarraydata.h                                                          | C++           |        140 |          9 |         29 |        178 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qarraydataops.h                                                       | C++           |        733 |         57 |        140 |        930 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qarraydatapointer.h                                                   | C++           |        259 |         91 |         54 |        404 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qassociativeiterable.h                                                | C++           |        132 |          4 |         38 |        174 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qatomic.h                                                             | C++           |        173 |         23 |         40 |        236 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qatomic_bootstrap.h                                                   | C++           |         53 |          4 |         13 |         70 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qatomic_cxx11.h                                                       | C++           |        360 |         35 |         69 |        464 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbasicatomic.h                                                        | C++           |        221 |         13 |         51 |        285 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbasictimer.h                                                         | C++           |         28 |          2 |         16 |         46 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbindingstorage.h                                                     | C++           |         73 |          3 |         19 |         95 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbitarray.h                                                           | C++           |        101 |          2 |         36 |        139 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbuffer.h                                                             | C++           |         50 |          2 |         17 |         69 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbytearray.h                                                          | C++           |        580 |         10 |         97 |        687 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbytearrayalgorithms.h                                                | C++           |         97 |         14 |         32 |        143 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbytearraylist.h                                                      | C++           |         44 |          4 |         13 |         61 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbytearraymatcher.h                                                   | C++           |        120 |          8 |         22 |        150 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qbytearrayview.h                                                      | C++           |        267 |         20 |         55 |        342 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/qcache.h                                                              | C++           |        221 |          2 |         31 |        254 |
