"filename", "language", "C++", "Makefile", "Batch", "TypeScript", "Shell Script", "YAML", "Objective-C++", "PostCSS", "HTML", "JSON", "Markdown", "log", "XML", "C", "comment", "blank", "total"
"/Users/roryhill/Projects/Winnow64/Cache/reader.h", "C++", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 98
"/Users/roryhill/Projects/Winnow64/Cache/threadsafehash.h", "C++", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 104
"/Users/roryhill/Projects/Winnow64/Cache/tiffthumbdecoder.cpp", "C++", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 78
"/Users/roryhill/Projects/Winnow64/Cache/tiffthumbdecoder.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/Users/roryhill/Projects/Winnow64/Datamodel/buildfilters.cpp", "C++", 678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 107, 1040
"/Users/roryhill/Projects/Winnow64/Datamodel/buildfilters.h", "C++", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 107
"/Users/roryhill/Projects/Winnow64/Datamodel/datamodel.cpp", "C++", 2390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 830, 346, 3566
"/Users/roryhill/Projects/Winnow64/Datamodel/datamodel.h", "C++", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42, 281
"/Users/roryhill/Projects/Winnow64/Datamodel/filters.cpp", "C++", 1206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 455, 171, 1832
"/Users/roryhill/Projects/Winnow64/Datamodel/filters.h", "C++", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 169
"/Users/roryhill/Projects/Winnow64/Datamodel/selection.cpp", "C++", 424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 67, 619
"/Users/roryhill/Projects/Winnow64/Datamodel/selection.h", "C++", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 87
"/Users/roryhill/Projects/Winnow64/Dialogs/aboutdlg.cpp", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 48
"/Users/roryhill/Projects/Winnow64/Dialogs/aboutdlg.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/Users/roryhill/Projects/Winnow64/Dialogs/addthumbnailsdlg.cpp", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"/Users/roryhill/Projects/Winnow64/Dialogs/addthumbnailsdlg.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"/Users/roryhill/Projects/Winnow64/Dialogs/appdlg.cpp", "C++", 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 40, 322
"/Users/roryhill/Projects/Winnow64/Dialogs/appdlg.h", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 53
"/Users/roryhill/Projects/Winnow64/Dialogs/copystyledlg.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 43
"/Users/roryhill/Projects/Winnow64/Dialogs/copystyledlg.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"/Users/roryhill/Projects/Winnow64/Dialogs/editlistdlg.cpp", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 61
"/Users/roryhill/Projects/Winnow64/Dialogs/editlistdlg.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 35
"/Users/roryhill/Projects/Winnow64/Dialogs/erasememcardimagesdlg.cpp", "C++", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 57
"/Users/roryhill/Projects/Winnow64/Dialogs/erasememcardimagesdlg.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"/Users/roryhill/Projects/Winnow64/Dialogs/findduplicatesdlg.cpp", "C++", 1160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 397, 127, 1684
"/Users/roryhill/Projects/Winnow64/Dialogs/findduplicatesdlg.h", "C++", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 168
"/Users/roryhill/Projects/Winnow64/Dialogs/imagedlg.cpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"/Users/roryhill/Projects/Winnow64/Dialogs/imagedlg.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"/Users/roryhill/Projects/Winnow64/Dialogs/ingestdlg.cpp", "C++", 1265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 340, 167, 1772
"/Users/roryhill/Projects/Winnow64/Dialogs/ingestdlg.h", "C++", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32, 205
"/Users/roryhill/Projects/Winnow64/Dialogs/ingestdlgold.cpp", "C++", 1218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 146, 1660
"/Users/roryhill/Projects/Winnow64/Dialogs/ingestdlgold.h", "C++", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 36, 202
"/Users/roryhill/Projects/Winnow64/Dialogs/ingesterrors.cpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/roryhill/Projects/Winnow64/Dialogs/ingesterrors.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/roryhill/Projects/Winnow64/Dialogs/loadusbdlg.cpp", "C++", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 84
"/Users/roryhill/Projects/Winnow64/Dialogs/loadusbdlg.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 50
"/Users/roryhill/Projects/Winnow64/Dialogs/loupeinfodlg.cpp", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 66
"/Users/roryhill/Projects/Winnow64/Dialogs/loupeinfodlg.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"/Users/roryhill/Projects/Winnow64/Dialogs/managegraphicsdlg.cpp", "C++", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 25, 224
"/Users/roryhill/Projects/Winnow64/Dialogs/managegraphicsdlg.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 45
"/Users/roryhill/Projects/Winnow64/Dialogs/manageimagesdlg.cpp", "C++", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 36, 298
"/Users/roryhill/Projects/Winnow64/Dialogs/manageimagesdlg.h", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"/Users/roryhill/Projects/Winnow64/Dialogs/managetilesdlg.cpp", "C++", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 22, 207
"/Users/roryhill/Projects/Winnow64/Dialogs/managetilesdlg.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 43
"/Users/roryhill/Projects/Winnow64/Dialogs/patterndlg.cpp", "C++", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 35, 292
"/Users/roryhill/Projects/Winnow64/Dialogs/patterndlg.h", "C++", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 78
"/Users/roryhill/Projects/Winnow64/Dialogs/prefdlg.cpp", "C++", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 69, 534
"/Users/roryhill/Projects/Winnow64/Dialogs/prefdlg.h", "C++", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 97
"/Users/roryhill/Projects/Winnow64/Dialogs/preferencesdlg.cpp", "C++", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 109
"/Users/roryhill/Projects/Winnow64/Dialogs/preferencesdlg.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"/Users/roryhill/Projects/Winnow64/Dialogs/renamedlg.cpp", "C++", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 94
"/Users/roryhill/Projects/Winnow64/Dialogs/renamedlg.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 56
"/Users/roryhill/Projects/Winnow64/Dialogs/saveasdlg.cpp", "C++", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 102
"/Users/roryhill/Projects/Winnow64/Dialogs/saveasdlg.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"/Users/roryhill/Projects/Winnow64/Dialogs/selectionorpicksdlg.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/roryhill/Projects/Winnow64/Dialogs/selectionorpicksdlg.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"/Users/roryhill/Projects/Winnow64/Dialogs/testaligndlg.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/roryhill/Projects/Winnow64/Dialogs/testaligndlg.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"/Users/roryhill/Projects/Winnow64/Dialogs/tokendlg.cpp", "C++", 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 70, 582
"/Users/roryhill/Projects/Winnow64/Dialogs/tokendlg.h", "C++", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 119
"/Users/roryhill/Projects/Winnow64/Dialogs/updateapp.cpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 43
"/Users/roryhill/Projects/Winnow64/Dialogs/updateapp.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"/Users/roryhill/Projects/Winnow64/Dialogs/workspacedlg.cpp", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 106
"/Users/roryhill/Projects/Winnow64/Dialogs/workspacedlg.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"/Users/roryhill/Projects/Winnow64/Dialogs/zoomdlg.cpp", "C++", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 26, 245
"/Users/roryhill/Projects/Winnow64/Dialogs/zoomdlg.h", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"/Users/roryhill/Projects/Winnow64/Docs/Winnow help copy.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/roryhill/Projects/Winnow64/Docs/Winnow help.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 397, 0, 0, 0, 0, 0, 0, 2, 399
"/Users/roryhill/Projects/Winnow64/Docs/_template.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/roryhill/Projects/Winnow64/Docs/debug.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
